transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,channels,currency
1,10,09-06-2023,Debit,852740.3,Cards,Naira
2,16,14-06-2022,Credit,200102.92,Apps,Naira
3,15,29-11-2022,Credit,287443.38,Web,Naira
4,15,23-07-2022,Credit,525227.29,Cards,Naira
5,19,24-08-2022,Debit,916765.81,Cards,Dollar
6,12,26-08-2023,Debit,494712.96,Web,Naira
7,20,10-09-2022,Credit,906758.49,Apps,Naira
8,3,20-01-2023,Credit,61490.96,Apps,Naira
9,5,02-04-2023,Debit,246415.89,Web,Naira
10,19,21-09-2022,Credit,313569.76,Cards,Naira
11,7,26-07-2022,Debit,454441.76,Apps,Naira
12,9,02-09-2022,Debit,438620.18,Apps,Naira
13,7,09-10-2022,Credit,50051.18,Apps,Naira
14,18,06-07-2022,Debit,752497.65,Cards,Naira
15,4,29-06-2022,Debit,762167.41,Web,Naira
16,14,20-04-2022,Debit,463506.65,Apps,Naira
17,18,21-04-2022,Debit,89441.74,Cards,Naira
18,9,25-07-2023,Credit,555761.37,Apps,Naira
19,2,17-05-2023,Credit,139343.36,Cards,Dollar
20,20,05-11-2022,Credit,978466.18,Cards,Dollar
21,15,21-08-2023,Debit,627927.96,Cards,Naira
22,7,02-06-2022,Credit,737294.85,Web,Naira
23,12,19-08-2023,Debit,29020.04,Apps,Naira
24,8,10-04-2022,Debit,386864.4,Cards,Naira
25,15,23-05-2023,Credit,905489.47,Cards,Naira
26,3,16-05-2022,Credit,386216.76,Apps,Dollar
27,14,09-05-2023,Debit,45623.33,Apps,Naira
28,17,26-06-2023,Credit,675184.88,Web,Naira
29,4,12-10-2022,Debit,699887.53,Cards,Naira
30,18,08-09-2022,Debit,342278.56,Apps,Naira
31,8,19-07-2022,Credit,805114.57,Apps,Naira
32,4,21-12-2022,Debit,855090.39,Apps,Naira
33,2,21-12-2022,Debit,786279.15,Apps,Naira
34,6,17-07-2022,Credit,413123.09,Apps,Pounds
35,10,03-02-2023,Debit,348707.4,Web,Naira
36,4,12-07-2023,Credit,943477.19,Cards,Naira
37,18,19-05-2023,Debit,721925.94,Apps,Naira
38,12,09-05-2022,Debit,556858.82,Cards,Naira
39,2,28-05-2022,Debit,493942.12,Cards,Naira
40,10,21-03-2023,Debit,274005.8,Apps,Naira
41,4,08-05-2023,Credit,914223.78,Apps,Dollar
42,14,16-05-2023,Debit,919588.35,Apps,Naira
43,16,25-04-2023,Credit,93947.35,Web,Dollar
44,15,29-08-2022,Debit,669560.37,Cards,Naira
45,8,22-03-2023,Credit,325427.78,Apps,Naira
46,14,22-10-2022,Credit,513703.37,Web,Naira
47,8,29-11-2022,Debit,122390.02,Apps,Naira
48,16,20-06-2023,Credit,812647.53,Apps,Naira
49,13,28-04-2022,Credit,808164.39,Cards,Naira
50,18,12-10-2022,Credit,115979.11,Apps,Naira
51,15,07-05-2022,Debit,83670.48,Apps,Naira
52,13,14-02-2023,Credit,379654.41,Cards,Naira
53,9,17-04-2023,Credit,162466.07,Cards,Naira
54,15,22-05-2022,Credit,803442.49,Web,Naira
55,13,18-01-2023,Credit,781087.91,Web,Naira
56,1,31-03-2023,Credit,865053.5,Apps,Naira
57,7,03-03-2023,Credit,19548.79,Cards,Naira
58,9,21-10-2022,Debit,23312.75,Cards,Naira
59,1,09-05-2022,Credit,808916.38,Web,Naira
60,12,25-02-2023,Debit,871458,Cards,Naira
61,8,14-07-2022,Credit,621286.06,Apps,Naira
62,11,09-04-2022,Credit,164681.35,Cards,Naira
63,19,19-12-2022,Debit,629865.11,Cards,Naira
64,17,20-04-2023,Debit,872635.89,Cards,Naira
65,8,18-03-2023,Debit,466155.37,Web,Naira
66,3,15-04-2022,Debit,874667.42,Cards,Naira
67,3,29-06-2023,Debit,788270.32,Web,Pounds
68,1,19-08-2022,Credit,114774.41,Web,Naira
69,5,18-06-2022,Debit,130758.61,Cards,Naira
70,10,12-04-2022,Credit,707106.15,Apps,Naira
71,7,25-01-2023,Credit,207526.1,Web,Naira
72,9,04-08-2023,Debit,748603.44,Apps,Naira
73,7,14-06-2023,Debit,90344.04,Web,Naira
74,9,30-08-2022,Credit,100786.84,Cards,Pounds
75,8,28-06-2023,Debit,951878,Cards,Naira
76,12,12-07-2022,Debit,13802.72,Web,Naira
77,2,06-06-2022,Debit,793676.8,Cards,Naira
78,1,10-09-2022,Credit,240744.99,Web,Naira
79,16,18-05-2023,Credit,59498.65,Cards,Naira
80,5,11-04-2023,Debit,88617.84,Web,Naira
81,3,17-11-2022,Debit,327200.9,Apps,Naira
82,12,03-06-2022,Credit,534040.15,Cards,Naira
83,8,29-08-2023,Credit,481283.67,Cards,Naira
84,3,22-08-2022,Debit,205326.76,Web,Naira
85,1,16-05-2023,Credit,988050.28,Cards,Naira
86,3,03-02-2023,Debit,609403.25,Web,Naira
87,5,10-04-2023,Debit,194204.23,Cards,Naira
88,15,05-03-2023,Credit,295182.86,Cards,Naira
89,14,13-12-2022,Debit,679397.74,Apps,Naira
90,3,18-02-2023,Credit,866358.14,Apps,Naira
91,1,29-07-2023,Credit,70653.68,Web,Naira
92,5,28-04-2023,Credit,193078.57,Apps,Naira
93,14,21-07-2023,Debit,16250.26,Cards,Naira
94,7,29-08-2023,Credit,184092.4,Apps,Naira
95,9,22-05-2022,Credit,205743.29,Cards,Naira
96,15,07-04-2022,Credit,152453.84,Apps,Naira
97,15,03-07-2023,Credit,546578.45,Cards,Naira
98,10,28-05-2022,Credit,972996.48,Cards,Naira
99,13,27-04-2022,Debit,702967.35,Apps,Naira
100,19,04-12-2022,Debit,705839.41,Web,Naira
101,7,25-08-2023,Debit,85021.96,Cards,Naira
102,17,28-04-2023,Credit,195177.57,Apps,Naira
103,20,10-04-2022,Debit,328191.39,Cards,Naira
104,4,04-04-2022,Credit,992060.61,Apps,Pounds
105,5,19-05-2022,Credit,170799.34,Cards,Naira
106,7,20-11-2022,Credit,638943.96,Web,Pounds
107,13,24-03-2023,Debit,596385.12,Web,Naira
108,15,11-07-2022,Credit,605538.43,Cards,Naira
109,11,06-10-2022,Credit,511587.91,Cards,Naira
110,4,03-07-2022,Debit,292548.98,Apps,Naira
111,13,17-02-2023,Credit,432258.07,Web,Naira
112,7,13-06-2022,Credit,826223.88,Cards,Naira
113,19,31-10-2022,Debit,738088.72,Web,Pounds
114,2,30-12-2022,Credit,535245.34,Cards,Dollar
115,10,06-06-2022,Debit,658293.75,Web,Naira
116,13,24-03-2023,Credit,968457.65,Cards,Naira
117,6,10-04-2022,Credit,259151.49,Web,Naira
118,12,10-01-2023,Debit,756754.12,Apps,Naira
119,12,04-04-2022,Credit,74006.8,Web,Naira
120,20,30-06-2023,Credit,72155.15,Web,Naira
121,11,22-02-2023,Credit,350781.02,Cards,Dollar
122,7,29-11-2022,Debit,735585.04,Apps,Naira
123,1,22-07-2023,Debit,623646.93,Web,Naira
124,1,27-10-2022,Credit,819526.48,Apps,Naira
125,20,15-03-2023,Debit,89152.1,Apps,Naira
126,13,12-03-2023,Credit,766789.47,Web,Naira
127,9,03-05-2022,Credit,718948.61,Cards,Naira
128,3,15-08-2023,Credit,21878.95,Cards,Naira
129,7,08-08-2023,Debit,746826.01,Web,Naira
